profile_id,weight_name,scenario_count,minimum_spearman,mean_spearman,minimum_spearman_scenario,maximum_mean_absolute_rank_change,maximum_absolute_rank_change,maximum_absolute_primary_intent_accuracy_delta,maximum_absolute_acceptable_intent_accuracy_delta,maximum_absolute_cross_intent_specificity_delta,minimum_top_5_jaccard,mean_top_5_jaccard,minimum_top_5_retention,minimum_top_10_jaccard,mean_top_10_jaccard,minimum_top_10_retention,minimum_top_20_jaccard,mean_top_20_jaccard,minimum_top_20_retention
antibody_io,confidence_score,2,1.0,1.0,antibody_io__confidence_score__minus20,0.0363,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
antibody_io,evidence_balance_score,2,1.0,1.0,antibody_io__evidence_balance_score__plus20,0.0363,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
antibody_io,modality_fit_score,2,1.0,1.0,antibody_io__modality_fit_score__minus20,0.0363,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
antibody_io,novelty_or_crowding_score,2,1.0,1.0,antibody_io__novelty_or_crowding_score__minus20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
antibody_io,opentargets_score,2,1.0,1.0,antibody_io__opentargets_score__plus20,0.0363,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
antibody_io,resistance_axis_score,2,1.0,1.0,antibody_io__resistance_axis_score__minus20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
antibody_io,role_fit_score,2,1.0,1.0,antibody_io__role_fit_score__minus20,0.0363,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
biomarker,confidence_score,2,1.0,1.0,biomarker__confidence_score__plus20,0.0242,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9048,0.9524,0.95
biomarker,evidence_balance_score,2,1.0,1.0,biomarker__evidence_balance_score__minus20,0.0181,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9048,0.9524,0.95
biomarker,modality_fit_score,2,1.0,1.0,biomarker__modality_fit_score__plus20,0.0302,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9048,0.9524,0.95
biomarker,novelty_or_crowding_score,2,1.0,1.0,biomarker__novelty_or_crowding_score__minus20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
biomarker,opentargets_score,2,1.0,1.0,biomarker__opentargets_score__plus20,0.0846,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9048,0.9524,0.95
biomarker,resistance_axis_score,2,1.0,1.0,biomarker__resistance_axis_score__minus20,0.0423,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
biomarker,role_fit_score,2,1.0,1.0,biomarker__role_fit_score__minus20,0.0906,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9048,0.9524,0.95
small_molecule,confidence_score,2,0.9865,0.9932,small_molecule__confidence_score__plus20,1.7946,285.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
small_molecule,evidence_balance_score,2,0.9866,0.9933,small_molecule__evidence_balance_score__plus20,2.2538,278.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
small_molecule,modality_fit_score,2,0.9868,0.9934,small_molecule__modality_fit_score__minus20,2.29,275.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
small_molecule,novelty_or_crowding_score,2,1.0,1.0,small_molecule__novelty_or_crowding_score__minus20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_molecule,opentargets_score,2,0.9852,0.9903,small_molecule__opentargets_score__minus20,2.6586,295.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
small_molecule,resistance_axis_score,2,0.9856,0.9927,small_molecule__resistance_axis_score__plus20,2.006,294.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
small_molecule,role_fit_score,2,0.9852,0.9925,small_molecule__role_fit_score__minus20,3.142,268.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8182,0.9091,0.9,1.0,1.0,1.0
